         4554614 function calls (4553858 primitive calls) in 15.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   133/12    0.001    0.000    0.002    0.000 sre_compile.py:64(_compile)
        4    0.001    0.000    0.001    0.000 {built-in method _posixsubprocess.fork_exec}
        2    0.001    0.000    0.006    0.003 main.py:214(draw_borders)
      188    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_set_default_foreground}
      792    0.001    0.000    0.005    0.000 style.py:23(deprecated_function)
       40    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      610    0.001    0.000    0.001    0.000 functions.py:150(turn)
      210    0.001    0.000    0.001    0.000 functions.py:39(alpha_blend_color)
  237/116    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
       52    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      659    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      532    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       52    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      614    0.000    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
     1804    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.001    0.000 enum.py:88(__new__)
        4    0.000    0.000    0.003    0.001 subprocess.py:1428(_execute_child)
      187    0.000    0.000    0.000    0.000 __init__.py:1002(_translate)
      862    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
        1    0.000    0.000    0.004    0.004 main.py:393(<listcomp>)
      250    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fd96122a280}
       40    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:729(get_code)
     52/4    0.000    0.000    0.062    0.016 <frozen importlib._bootstrap>:966(_find_and_load)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 main.py:396(<listcomp>)
      375    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_is_window_closed}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
        1    0.000    0.000    0.004    0.004 main.py:399(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
     51/4    0.000    0.000    0.061    0.015 <frozen importlib._bootstrap>:659(_load_unlocked)
        1    0.000    0.000    0.003    0.003 main.py:387(<listcomp>)
        1    0.000    0.000    0.003    0.003 main.py:390(<listcomp>)
        1    0.000    0.000    0.002    0.002 main.py:384(<listcomp>)
       34    0.000    0.000    0.001    0.000 main.py:642(__init__)
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      748    0.000    0.000    0.000    0.000 __init__.py:650(get_size)
      394    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       40    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       48    0.000    0.000    0.000    0.000 sre_compile.py:248(_optimize_charset)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        2    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
      187    0.000    0.000    0.000    0.000 main.py:151(update)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
      976    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1950    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
     52/4    0.000    0.000    0.062    0.016 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       15    0.000    0.000    0.000    0.000 __init__.py:39(_import_module_functions)
       34    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      188    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_set_default_background}
      447    0.000    0.000    0.001    0.000 sre_parse.py:247(get)
        1    0.000    0.000    0.000    0.000 event.py:50(_parseKeyNames)
    57/12    0.000    0.000    0.004    0.000 sre_parse.py:429(_parse_sub)
      752    0.000    0.000    0.000    0.000 __init__.py:894(_translate)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       34    0.000    0.000    0.001    0.000 main.py:594(spawn_ant)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
        3    0.000    0.000    0.003    0.001 __init__.py:356(namedtuple)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
   124/86    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
       73    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
      456    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.007    0.001 re.py:278(_compile)
     40/4    0.000    0.000    0.061    0.015 <frozen importlib._bootstrap_external>:659(exec_module)
        1    0.000    0.000    0.060    0.060 __init__.py:60(<module>)
       54    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      279    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      197    0.000    0.000    0.000    0.000 __init__.py:123(from_cdata)
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 parser.py:68(_CValue)
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
       59    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:163(__enter__)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
       48    0.000    0.000    0.001    0.000 sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
      253    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        1    0.000    0.000    0.051    0.051 __init__.py:17(<module>)
       40    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      209    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        4    0.000    0.000    0.003    0.001 subprocess.py:834(__init__)
      333    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
       69    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        1    0.000    0.000    0.042    0.042 libtcod.py:2(<module>)
        4    0.000    0.000    0.012    0.003 platform.py:861(architecture)
    51/50    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      197    0.000    0.000    0.000    0.000 __init__.py:118(__new__)
    21/20    0.000    0.000    0.011    0.001 {built-in method builtins.__import__}
        6    0.000    0.000    0.000    0.000 abc.py:132(__new__)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       55    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      695    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       12    0.000    0.000    0.007    0.001 sre_compile.py:531(compile)
        1    0.000    0.000    0.000    0.000 threading.py:564(Barrier)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        4    0.000    0.000    0.000    0.000 os.py:663(get_exec_path)
       12    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
        5    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       29    0.000    0.000    0.000    0.000 style.py:9(backport)
      248    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       19    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      133    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        4    0.000    0.000    0.012    0.003 platform.py:825(_syscmd_file)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
        4    0.000    0.000    0.008    0.002 subprocess.py:1032(communicate)
        1    0.000    0.000    0.006    0.006 threading.py:1(<module>)
       40    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
     82/4    0.000    0.000    0.061    0.015 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      231    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       12    0.000    0.000    0.004    0.000 sre_parse.py:819(parse)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 __init__.py:448(<listcomp>)
        1    0.000    0.000    0.000    0.000 image.py:2(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       10    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
       40    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.003    0.003 random.py:37(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        3    0.000    0.000    0.000    0.000 enum.py:547(<dictcomp>)
      253    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
